1 27 54 88 81 19 100 1 1
2 38 69 97 48 51 100 7 1
3 58 39 87 18 3 25 9 1
4 91 96 44 40 50 88 7 1
5 21 12 20 82 95 32 10 1
6 90 4 9 95 39 33 4 1
7 95 51 59 18 70 85 2 1
8 67 58 8 36 69 39 10 1
9 63 84 53 71 48 28 5 1
10 7 66 48 96 28 92 6 1
11 21 95 5 43 76 88 0 1
12 18 52 60 14 25 33 9 1
13 69 9 80 82 53 10 0 1
14 39 100 60 81 62 20 3 1
15 77 41 3 91 10 18 8 1
16 50 90 40 71 57 49 0 1
17 72 88 11 46 2 15 0 1
18 100 30 3 9 20 57 8 1
19 39 14 85 74 42 8 9 1
20 78 27 33 94 21 93 3 1
21 94 1 30 4 38 28 3 1
22 22 82 83 11 8 4 2 1
23 66 18 42 40 15 46 2 1
24 13 85 2 16 56 53 0 1
25 27 17 6 12 67 24 9 1
26 39 77 74 29 74 89 7 1
27 2 52 8 59 38 51 7 1
28 39 28 8 15 87 38 9 1
29 87 35 64 50 80 84 4 1
30 35 71 42 37 83 78 8 1
31 49 60 44 41 91 83 10 1
32 60 47 9 29 99 32 7 1
33 50 34 28 43 27 5 9 1
34 19 97 80 47 79 78 3 1
35 83 65 10 83 20 62 7 1
36 67 20 28 36 1 21 9 1
37 80 36 14 44 56 13 7 1
38 11 52 67 1 41 97 3 1
39 73 89 98 97 93 44 5 1
40 42 16 22 34 53 64 7 1
41 83 24 38 3 5 52 2 1
42 65 17 12 36 57 67 6 1
43 79 62 79 65 21 26 7 1
44 56 51 7 29 44 10 7 1
45 53 19 79 99 24 21 4 1
46 79 41 13 9 99 46 1 1
47 3 59 78 13 65 55 7 1
48 48 31 37 27 79 90 7 1
49 74 49 62 22 100 53 7 1
50 70 94 92 95 82 68 4 1
51 48 5 11 35 33 5 1 1
52 87 54 72 41 10 35 7 1
53 44 45 16 54 34 18 8 1
54 25 91 27 28 2 53 9 1
55 8 89 78 41 5 91 10 1
56 10 17 60 44 78 73 3 1
57 32 76 10 33 15 28 8 1
58 52 41 16 1 4 33 8 1
59 67 56 71 98 78 72 10 1
60 41 9 27 12 2 22 3 1
61 92 12 30 55 23 43 10 1
62 30 93 57 88 86 95 5 1
63 46 88 35 87 32 25 7 1
64 34 17 100 62 77 5 6 1
65 66 54 22 1 37 54 9 1
66 26 93 60 33 20 20 9 1
67 48 33 41 88 48 57 3 1
68 77 17 54 51 25 45 8 1
69 9 95 81 91 95 79 7 1
70 88 47 2 99 21 33 2 1
71 34 23 68 32 90 42 9 1
72 84 1 89 2 97 47 5 1
73 35 62 41 42 98 20 7 1
74 34 41 90 78 7 87 0 1
75 48 91 81 96 4 10 4 1
76 90 51 6 73 45 12 3 1
77 87 73 96 52 33 1 2 1
78 39 3 50 74 73 87 6 1
79 78 38 50 86 86 71 0 1
80 97 39 21 82 49 100 3 1
81 44 34 69 73 39 51 3 1
82 72 37 55 45 42 74 9 1
83 40 64 61 44 63 86 5 1
84 33 4 31 84 43 33 3 1
85 76 70 17 39 26 31 10 1
86 21 82 85 68 96 10 0 1
87 72 51 18 8 4 75 6 1
88 13 12 59 83 26 79 4 1
89 25 91 98 2 12 69 8 1
90 15 42 54 12 25 72 7 1
91 24 48 82 50 98 12 9 1
92 6 72 66 69 86 74 1 1
93 65 25 78 61 40 50 0 1
94 88 30 4 90 49 46 5 1
95 78 71 56 31 97 95 8 1
96 80 78 13 55 96 49 9 1
97 46 2 69 74 81 17 0 1
98 42 56 92 16 66 44 1 1
99 82 66 57 69 76 53 0 1
100 61 94 58 89 72 58 8 1
101 66 70 52 37 95 75 6 1
102 36 26 66 4 99 83 9 1
103 28 42 59 52 6 41 9 1
104 100 13 8 12 25 63 7 1
105 64 14 16 91 28 78 10 1
106 22 65 99 22 91 66 4 1
107 13 35 100 63 38 71 2 1
108 48 43 30 37 28 14 10 1
109 93 94 79 79 18 21 5 1
110 60 39 69 96 48 28 6 1
111 98 23 41 69 40 56 0 1
112 74 70 40 2 14 64 9 1
113 36 1 89 96 2 39 0 1
114 44 69 83 50 63 69 3 1
115 15 80 27 55 8 68 8 1
116 2 51 19 6 66 36 0 1
117 72 31 96 17 73 14 0 1
118 11 74 84 76 8 37 8 1
119 45 31 35 33 60 46 9 1
120 65 78 85 62 10 40 3 1
121 100 12 2 60 91 53 3 1
122 50 80 22 5 75 3 2 1
123 49 50 92 40 37 63 2 1
124 18 84 5 32 44 81 0 1
125 76 76 88 44 36 58 9 1
126 46 91 66 36 3 77 7 1
127 52 28 22 75 34 15 7 1
128 21 45 1 96 38 78 9 1
129 23 28 8 22 17 17 4 1
130 60 33 77 83 67 61 8 1
131 58 87 4 3 60 29 10 1
132 8 11 78 95 14 26 7 1
133 4 41 40 98 12 10 9 1
134 65 41 79 82 52 40 3 1
135 93 44 4 67 69 98 7 1
136 60 18 37 30 27 42 9 1
137 57 27 21 86 43 53 7 1
138 53 66 97 85 92 78 3 1
139 99 82 57 38 79 35 5 1
140 51 43 45 87 59 7 7 1
141 69 17 81 54 90 43 2 1
142 61 29 17 58 73 97 6 1
143 24 81 21 2 34 35 7 1
144 26 17 35 92 100 52 7 1
145 73 79 46 64 34 47 4 1
146 46 53 11 56 87 64 1 1
147 18 33 61 69 49 43 7 1
148 75 28 11 94 41 45 7 1
